cve_ent,ent,cve_mun,nom_mun,pob,mas15_analfabeta,noasiste_6a14,basicincomp_15omas,sinder,pisotie,sinexcusado_sanitario,sinagua_entubada,sin_drenaje,sin_energiaelec,sin_lavadora,sin_refrigerador,irs,grado_rezago_soc,contexto_nacional_lugar
19,Nuevo León,19001,Abasolo,"2,974",2.2,7.3,22.3,4.7,0.8,1.4,2.1,1.3,0.4,13.5,3.4,-1.125021,Muy bajo,"2,300"
19,Nuevo León,19002,Agualeguas,"3,382",4.8,4.0,43.4,9.7,0.1,1.1,0.9,2.7,0.9,11.5,2.8,-0.932820,Muy bajo,"2,091"
19,Nuevo León,19003,Los Aldamas,"1,407",4.3,3.2,55.8,22.7,0.0,0.0,2.2,1.3,0.4,11.3,3.3,-0.907215,Muy bajo,"2,056"
19,Nuevo León,19004,Allende,"35,289",1.7,9.5,31.6,12.5,0.5,0.4,0.4,0.8,0.1,7.0,2.1,-1.142397,Muy bajo,"2,309"
19,Nuevo León,19005,Anáhuac,"18,030",3.6,6.4,39.5,14.6,1.3,0.6,3.4,3.9,1.8,16.3,6.0,-0.825282,Muy bajo,"1,951"
19,Nuevo León,19006,Apodaca,"656,464",0.7,3.6,11.7,15.7,0.4,0.1,0.1,0.0,0.0,8.1,1.5,-1.506361,Muy bajo,"2,468"
19,Nuevo León,19007,Aramberri,"14,992",8.0,4.0,48.0,9.1,11.0,3.2,6.8,15.2,2.7,26.6,19.4,-0.084188,Bajo,"1,106"
19,Nuevo León,19008,Bustamante,"3,661",3.8,7.1,35.2,7.4,0.6,1.7,2.1,2.5,1.0,14.4,4.1,-0.908533,Muy bajo,"2,060"
19,Nuevo León,19009,Cadereyta Jiménez,"122,337",1.7,5.9,28.2,21.4,0.5,0.4,1.0,0.8,0.2,17.7,5.2,-1.160138,Muy bajo,"2,331"
19,Nuevo León,19010,El Carmen,"104,478",1.0,5.3,19.9,22.2,0.7,0.3,0.6,0.2,0.3,25.0,6.8,-1.213524,Muy bajo,"2,381"
19,Nuevo León,19011,Cerralvo,"7,340",4.1,7.6,38.8,13.2,0.4,0.8,1.7,2.2,1.5,12.0,4.2,-0.899237,Muy bajo,"2,039"
19,Nuevo León,19012,Ciénega de Flores,"68,747",1.5,6.5,21.5,20.1,0.5,0.1,0.2,0.1,0.1,25.7,8.3,-1.160312,Muy bajo,"2,332"
19,Nuevo León,19013,China,"9,930",4.0,8.8,43.2,15.0,0.9,0.9,8.6,10.5,3.6,13.8,7.3,-0.557934,Bajo,"1,620"
19,Nuevo León,19014,Doctor Arroyo,"36,088",9.1,4.4,48.8,10.0,4.1,3.1,30.0,43.6,1.7,24.0,12.1,0.185431,Medio,852
19,Nuevo León,19015,Doctor Coss,"1,360",4.3,8.0,52.8,17.5,0.6,0.4,3.3,4.9,0.8,10.6,2.8,-0.769808,Muy bajo,"1,873"
19,Nuevo León,19016,Doctor González,"3,256",4.9,7.2,41.9,5.7,1.2,2.1,3.5,2.6,1.0,17.2,4.7,-0.748767,Muy bajo,"1,842"
19,Nuevo León,19017,Galeana,"40,903",6.5,5.2,47.0,12.0,4.0,3.4,13.6,10.0,1.2,20.9,11.3,-0.380583,Bajo,"1,405"
19,Nuevo León,19018,García,"397,205",1.1,4.1,16.6,20.7,0.8,0.1,0.4,0.2,0.1,19.7,5.1,-1.324283,Muy bajo,"2,439"
19,Nuevo León,19019,San Pedro Garza García,"132,169",1.0,5.6,11.3,11.5,0.3,3.8,0.0,0.1,0.1,8.8,4.7,-1.367207,Muy bajo,"2,452"
19,Nuevo León,19020,General Bravo,"5,506",3.0,6.1,40.4,30.4,0.5,1.4,4.5,5.2,1.9,15.1,5.7,-0.880533,Muy bajo,"2,014"
